pos,vel,acc
10.0,100.0,-161.9846
10.98380154,98.380154,-161.9846
11.951659064761742,96.78575247617417,-159.44015238258402
12.903823022238827,95.21639574770852,-156.93567284656447
13.84053992635842,93.67169041195935,-154.47053357491757
14.76205241881678,92.1512492458359,-152.0441166123441
15.668599329904103,90.65469110873228,-149.65581371036205
16.56041573837394,89.18164084698395,-147.30502617483225
17.437733030372193,87.73172919982517,-144.99116471587902
18.30077895744043,86.30459270682348,-142.71364930016858
19.14977769360811,84.8998736167684,-140.4719090055075
19.984949891588023,83.51721979799115,-138.26538187772536
20.806512738088955,82.1562846500931,-136.0935147898053
21.614680008259562,80.81672701706083,-133.95576330322766
22.409662119277023,79.49821110174592,-131.85159153149107
23.191666183093904,78.20040638168814,-129.78047200577808
23.960896058356514,76.92298752626084,-127.74188554273022
24.717552401507692,75.66563431511784,-125.73532111430043
25.461832717086907,74.42803155792134,-123.76027571964985
26.193931407240214,73.20986901533078,-121.81625425905662
26.91403982045254,72.01084132123273,-119.90276940980554
27.622346299514465,70.83064790619247,-118.0193415040271
28.319036228735545,69.66899292210792,-116.1654984084555
29.004292080416015,68.52558516804716,-114.34077540607544
29.678293460588524,67.40013801725088,-112.5447150796278
30.34121715404134,66.29236934528143,-110.77686719694562
30.993237168634344,65.20200145930052,-109.0367885980907
31.634524778918923,64.12876102845789,-107.32404308426342
32.265248569072654,63.072379015373315,-105.63820130845754
32.8855744751596,62.03259060869499,-103.97884066783234
33.49566582672677,61.009135156717235,-102.34554519777566
34.09568338774718,60.00175610204093,-100.73790546763081
34.68578539691978,59.01020091726031,-99.1555184780615
35.26612760733639,58.034221041660025,-97.59798756002884
35.83686332552545,57.07357181890647,-96.0649222753554
36.39814344988263,56.12801243571796,-94.55593831885102
36.950116508497615,55.1973058614982,-93.07065742197604
37.4929286963868,54.281218788918025,-91.60870725801793
38.0267239121411,53.37952157543045,-90.16972134875728
38.551643793998146,52.49198818570445,-88.75333897259986
39.06782775534778,51.61839613496293,-87.35920507415182
39.575413019679885,50.758526433210776,-85.98697017521523
40.074534654983275,49.91216353033896,-84.63629028718177
40.56532560760419,49.07909526209094,-83.30682682480231
41.04791673557297,48.25911279687782,-81.9982465213114
41.522436841407256,47.45201058342898,-80.7102213448845
41.989012704399904,46.6575862992649,-79.4424284164079
42.4477691123997,45.8756407999795,-78.19454992854011
42.89882889309289,45.10597806931906,-76.96627306604461
43.34231294479334,44.34840517004532,-75.7572899273741
43.77834026674905,43.602732195570454,-74.56729744748651
44.20702798897256,42.86877222235172,-73.3959973218733
44.6284914016029,42.14634126303391,-72.2430959317812
45.04284398380618,41.435258220327825,-71.10830427060861
45.45019743222231,40.73534484161324,-69.99133787145807
45.85066168896486,40.04642567425498,-68.89191673582671
46.24434496918107,39.368328021620805,-67.80976526341702
46.63135378817898,38.7008818997903,-66.74461218304988
47.01179298812841,38.04391999494367,-65.696190484663
47.385765764342615,37.397277621419896,-64.66423735237754
47.753373691146955,36.76079268043374,-63.64849409861589
48.11471674734137,36.13430561944119,-62.648706099254596
48.469893341262804,35.51765939214324,-61.66462272979575
48.819000335453985,34.910699419117826,-60.69599730254103
49.16213307094469,34.3132735490703,-59.74258700475261
49.49938539115161,33.725232020692445,-58.80415283778544
49.830849665402816,33.14642742512069,-57.88045955717561
50.15661681209266,32.576714668983996,-56.97127561366989
50.47677632147298,32.015950938032184,-56.07637309518139
50.79141627808634,31.463995661335613,-55.1955276696572
51.10062338284681,30.92071047604718,-54.32851852884334
51.40448297477399,30.38595919271785,-53.47512833293301
51.70307905238556,29.859607761157005,-52.63514315608443
51.99649429475385,29.34152423682906,-51.80835243279438
52.28481008223163,28.831578747777918,-50.994548905114144
52.56810651685234,28.329643462070973,-50.19352857069457
52.84646244240989,27.8355925557545,-49.40509063164724
53.11995546422301,27.34930218131241,-48.62903744420895
53.38866196858922,26.87065043662044,-47.86517446919681
53.6526571419331,26.399517334388023,-47.11331022324165
53.9120149896539,25.935784772080147,-46.37325623078737
54.166808354677016,25.479336502311703,-45.64482697684441
54.41710893571408,25.03005810370685,-44.927839860485214
54.66298730523624,24.587836952216147,-44.222115149070305
54.90451292716509,24.152562192884215,-43.527475933193315
55.141754174285694,23.724124712060878,-42.843748082333754
55.37477834538618,23.302417110048815,-42.170760201206384
55.60365168212799,22.88733367418085,-41.508343586796244
55.828439385651194,22.478770352320165,-40.856332186068585
56.04920563291896,22.076624726776735,-40.21456255434311
56.2660135928053,21.680795988633516,-39.58287381432199
56.47892544193006,21.2911849124759,-38.96110761576158
56.68800238024524,20.907693831518124,-38.349108095777495
56.89330464637644,20.53022661312039,-37.74672183977334
57.094891532723345,20.15868863469056,-37.15379784298306
57.292821400322985,19.792986759964386,-36.57018747261739
57.48715169347957,19.433029315658334,-35.995744430605015
57.67793895416446,19.078726068489146,-35.43032471691885
57.86523883619,18.729988202554363,-34.87378659347848
58.04910611916068,18.386728297068167,-34.325990548619586
58.22959472220515,18.04886030444695,-33.78679926212149
58.40675771749254,17.71629952873911,-33.25607757078405
58.58064734353648,17.388962604393658,-32.73369243454528
58.7513150182901,17.066767475362347,-32.21951290313114
58.9188113520354,16.749633374530056,-31.713410083229277
59.08318616007008,16.437480803468272,-31.215257106178317
59.24448847519514,16.130231512506626,-30.72492909616475
59.40276656000631,15.827808481117431,-30.24230313891936
59.5580679189924,15.530135898608378,-29.76725825090534
59.71043931044358,15.237139145118475,-29.299675348990448
59.859926758172705,14.94874477291252,-28.83943722059552
60.0065755630524,14.6648804879694,-28.386428494311897
